ï»¿"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDPHRWKD","TOT","IDX2010","A","2015",104.721929,
"AUT","GDPHRWKD","TOT","IDX2010","A","2016",104.680137,
"AUT","GDPHRWKD","TOT","IDX2010","A","2017",105.623084,
"AUT","GDPHRWKD","TOT","IDX2010","A","2018",106.727544,
"BEL","GDPHRWKD","TOT","IDX2010","A","2001",89.748613,
"BEL","GDPHRWKD","TOT","IDX2010","A","2002",91.847418,
"BEL","GDPHRWKD","TOT","IDX2010","A","2003",92.923539,
"BEL","GDPHRWKD","TOT","IDX2010","A","2004",95.65735,
"BEL","GDPHRWKD","TOT","IDX2010","A","2005",96.735278,
"BEL","GDPHRWKD","TOT","IDX2010","A","2006",97.635287,
"BEL","GDPHRWKD","TOT","IDX2010","A","2007",99.085201,
"BEL","GDPHRWKD","TOT","IDX2010","A","2008",98.506682,
"BEL","GDPHRWKD","TOT","IDX2010","A","2009",97.809538,
"BEL","GDPHRWKD","TOT","IDX2010","A","2010",100,
"BEL","GDPHRWKD","TOT","IDX2010","A","2011",99.535372,
"BEL","GDPHRWKD","TOT","IDX2010","A","2012",99.319659,
"BEL","GDPHRWKD","TOT","IDX2010","A","2013",99.967141,
"BEL","GDPHRWKD","TOT","IDX2010","A","2014",100.963597,
"BEL","GDPHRWKD","TOT","IDX2010","A","2015",102.347189,
"BEL","GDPHRWKD","TOT","IDX2010","A","2016",102.540515,
"BEL","GDPHRWKD","TOT","IDX2010","A","2017",102.75173,
"BEL","GDPHRWKD","TOT","IDX2010","A","2018",102.610366,
"CAN","GDPHRWKD","TOT","IDX2010","A","2001",92.585856,
"CAN","GDPHRWKD","TOT","IDX2010","A","2002",94.013395,
"CAN","GDPHRWKD","TOT","IDX2010","A","2003",94.077924,
"CAN","GDPHRWKD","TOT","IDX2010","A","2004",94.702022,
"CAN","GDPHRWKD","TOT","IDX2010","A","2005",96.95901,
"CAN","GDPHRWKD","TOT","IDX2010","A","2006",98.07215,
"CAN","GDPHRWKD","TOT","IDX2010","A","2007",98.235465,
"CAN","GDPHRWKD","TOT","IDX2010","A","2008",98.171905,
"CAN","GDPHRWKD","TOT","IDX2010","A","2009",98.901722,
"CAN","GDPHRWKD","TOT","IDX2010","A","2010",100,
"CAN","GDPHRWKD","TOT","IDX2010","A","2011",101.741587,
"CAN","GDPHRWKD","TOT","IDX2010","A","2012",101.643055,
"CAN","GDPHRWKD","TOT","IDX2010","A","2013",102.714544,
"CAN","GDPHRWKD","TOT","IDX2010","A","2014",105.311714,
"CAN","GDPHRWKD","TOT","IDX2010","A","2015",104.80364,
"CAN","GDPHRWKD","TOT","IDX2010","A","2016",105.114929,
"CAN","GDPHRWKD","TOT","IDX2010","A","2017",106.886751,
"CZE","GDPHRWKD","TOT","IDX2010","A","2001",77.777091,
"CZE","GDPHRWKD","TOT","IDX2010","A","2002",78.645327,
"CZE","GDPHRWKD","TOT","IDX2010","A","2003",82.601287,
"CZE","GDPHRWKD","TOT","IDX2010","A","2004",86.300934,
"CZE","GDPHRWKD","TOT","IDX2010","A","2005",90.192039,
"CZE","GDPHRWKD","TOT","IDX2010","A","2006",96.033788,
"CZE","GDPHRWKD","TOT","IDX2010","A","2007",100.164275,
"CZE","GDPHRWKD","TOT","IDX2010","A","2008",100.367255,
"CZE","GDPHRWKD","TOT","IDX2010","A","2009",97.893602,
"CZE","GDPHRWKD","TOT","IDX2010","A","2010",100,
"CZE","GDPHRWKD","TOT","IDX2010","A","2011",101.71025,
"CZE","GDPHRWKD","TOT","IDX2010","A","2012",102.143529,
"CZE","GDPHRWKD","TOT","IDX2010","A","2013",102.077197,
"CZE","GDPHRWKD","TOT","IDX2010","A","2014",103.467311,
"CZE","GDPHRWKD","TOT","IDX2010","A","2015",108.685622,
"CZE","GDPHRWKD","TOT","IDX2010","A","2016",108.228042,
"CZE","GDPHRWKD","TOT","IDX2010","A","2017",110.846595,
"CZE","GDPHRWKD","TOT","IDX2010","A","2018",111.794959,
"DNK","GDPHRWKD","TOT","IDX2010","A","2001",90.605822,
"DNK","GDPHRWKD","TOT","IDX2010","A","2002",91.350758,
"DNK","GDPHRWKD","TOT","IDX2010","A","2003",92.85839,
"DNK","GDPHRWKD","TOT","IDX2010","A","2004",95.823565,
"DNK","GDPHRWKD","TOT","IDX2010","A","2005",97.135281,
"DNK","GDPHRWKD","TOT","IDX2010","A","2006",98.415417,
"DNK","GDPHRWKD","TOT","IDX2010","A","2007",98.596926,
"DNK","GDPHRWKD","TOT","IDX2010","A","2008",97.129084,
"DNK","GDPHRWKD","TOT","IDX2010","A","2009",96.233833,
"DNK","GDPHRWKD","TOT","IDX2010","A","2010",100,
"DNK","GDPHRWKD","TOT","IDX2010","A","2011",100.346254,
"DNK","GDPHRWKD","TOT","IDX2010","A","2012",102.264117,
"DNK","GDPHRWKD","TOT","IDX2010","A","2013",103.068264,
"DNK","GDPHRWKD","TOT","IDX2010","A","2014",104.700969,
"DNK","GDPHRWKD","TOT","IDX2010","A","2015",106.196093,
"DNK","GDPHRWKD","TOT","IDX2010","A","2016",106.742312,
"DNK","GDPHRWKD","TOT","IDX2010","A","2017",107.957032,
"DNK","GDPHRWKD","TOT","IDX2010","A","2018",108.555674,
"FIN","GDPHRWKD","TOT","IDX2010","A","2001",89.395258,
"FIN","GDPHRWKD","TOT","IDX2010","A","2002",90.384302,
"FIN","GDPHRWKD","TOT","IDX2010","A","2003",92.516377,
"FIN","GDPHRWKD","TOT","IDX2010","A","2004",95.49142,
"FIN","GDPHRWKD","TOT","IDX2010","A","2005",97.222396,
"FIN","GDPHRWKD","TOT","IDX2010","A","2006",99.597111,
"FIN","GDPHRWKD","TOT","IDX2010","A","2007",102.661059,
"FIN","GDPHRWKD","TOT","IDX2010","A","2008",101.568532,
"FIN","GDPHRWKD","TOT","IDX2010","A","2009",96.839785,
"FIN","GDPHRWKD","TOT","IDX2010","A","2010",100,
"FIN","GDPHRWKD","TOT","IDX2010","A","2011",101.601988,
"FIN","GDPHRWKD","TOT","IDX2010","A","2012",100.014239,
"FIN","GDPHRWKD","TOT","IDX2010","A","2013",100.615998,
"FIN","GDPHRWKD","TOT","IDX2010","A","2014",100.662655,
"FIN","GDPHRWKD","TOT","IDX2010","A","2015",101.250535,
"FIN","GDPHRWKD","TOT","IDX2010","A","2016",103.753434,
"FIN","GDPHRWKD","TOT","IDX2010","A","2017",105.50734,
"FRA","GDPHRWKD","TOT","IDX2010","A","2001",93.204922,
"FRA","GDPHRWKD","TOT","IDX2010","A","2002",95.925989,
"FRA","GDPHRWKD","TOT","IDX2010","A","2003",96.473494,
"FRA","GDPHRWKD","TOT","IDX2010","A","2004",97.539652,
"FRA","GDPHRWKD","TOT","IDX2010","A","2005",98.405401,
"FRA","GDPHRWKD","TOT","IDX2010","A","2006",100.855351,
"FRA","GDPHRWKD","TOT","IDX2010","A","2007",100.382673,
"FRA","GDPHRWKD","TOT","IDX2010","A","2008",99.742223,
"FRA","GDPHRWKD","TOT","IDX2010","A","2009",98.722057,
"FRA","GDPHRWKD","TOT","IDX2010","A","2010",100,
"FRA","GDPHRWKD","TOT","IDX2010","A","2011",101.001301,
"FRA","GDPHRWKD","TOT","IDX2010","A","2012",101.331298,
"FRA","GDPHRWKD","TOT","IDX2010","A","2013",102.703585,
"FRA","GDPHRWKD","TOT","IDX2010","A","2014",103.691799,
"FRA","GDPHRWKD","TOT","IDX2010","A","2015",104.533053,
"FRA","GDPHRWKD","TOT","IDX2010","A","2016",104.56563,
"FRA","GDPHRWKD","TOT","IDX2010","A","2017",105.933901,
"FRA","GDPHRWKD","TOT","IDX2010","A","2018",106.607285,
"DEU","GDPHRWKD","TOT","IDX2010","A","2001",92.341573,
"DEU","GDPHRWKD","TOT","IDX2010","A","2002",93.474978,
"DEU","GDPHRWKD","TOT","IDX2010","A","2003",94.23223,
"DEU","GDPHRWKD","TOT","IDX2010","A","2004",95.17113,
"DEU","GDPHRWKD","TOT","IDX2010","A","2005",96.613922,
"DEU","GDPHRWKD","TOT","IDX2010","A","2006",98.473053,
"DEU","GDPHRWKD","TOT","IDX2010","A","2007",99.966559,
"DEU","GDPHRWKD","TOT","IDX2010","A","2008",100.153984,
"DEU","GDPHRWKD","TOT","IDX2010","A","2009",97.586251,
"DEU","GDPHRWKD","TOT","IDX2010","A","2010",100,
"DEU","GDPHRWKD","TOT","IDX2010","A","2011",102.056115,
"DEU","GDPHRWKD","TOT","IDX2010","A","2012",102.689448,
"DEU","GDPHRWKD","TOT","IDX2010","A","2013",103.491032,
"DEU","GDPHRWKD","TOT","IDX2010","A","2014",104.550388,
"DEU","GDPHRWKD","TOT","IDX2010","A","2015",105.160511,
"DEU","GDPHRWKD","TOT","IDX2010","A","2016",106.650745,
"DEU","GDPHRWKD","TOT","IDX2010","A","2017",107.603494,
"DEU","GDPHRWKD","TOT","IDX2010","A","2018",107.577685,
"GRC","GDPHRWKD","TOT","IDX2010","A","2001",91.416406,
"GRC","GDPHRWKD","TOT","IDX2010","A","2002",93.084152,
"GRC","GDPHRWKD","TOT","IDX2010","A","2003",97.213837,
"GRC","GDPHRWKD","TOT","IDX2010","A","2004",100.156507,
"GRC","GDPHRWKD","TOT","IDX2010","A","2005",97.320133,
"GRC","GDPHRWKD","TOT","IDX2010","A","2006",101.503428,
"GRC","GDPHRWKD","TOT","IDX2010","A","2007",104.136188,
"GRC","GDPHRWKD","TOT","IDX2010","A","2008",102.707355,
"GRC","GDPHRWKD","TOT","IDX2010","A","2009",100.036745,
"GRC","GDPHRWKD","TOT","IDX2010","A","2010",100,
"GRC","GDPHRWKD","TOT","IDX2010","A","2011",96.711194,
"GRC","GDPHRWKD","TOT","IDX2010","A","2012",94.868433,
"GRC","GDPHRWKD","TOT","IDX2010","A","2013",94.085887,
"GRC","GDPHRWKD","TOT","IDX2010","A","2014",95.691268,
"GRC","GDPHRWKD","TOT","IDX2010","A","2015",94.110026,
"GRC","GDPHRWKD","TOT","IDX2010","A","2016",93.541816,
"GRC","GDPHRWKD","TOT","IDX2010","A","2017",92.813785,
"GRC","GDPHRWKD","TOT","IDX2010","A","2018",93.05998,
"HUN","GDPHRWKD","TOT","IDX2010","A","2001",71.096421,
"HUN","GDPHRWKD","TOT","IDX2010","A","2002",73.932374,
"HUN","GDPHRWKD","TOT","IDX2010","A","2003",77.829739,
"HUN","GDPHRWKD","TOT","IDX2010","A","2004",82.184112,
"HUN","GDPHRWKD","TOT","IDX2010","A","2005",86.008518,
"HUN","GDPHRWKD","TOT","IDX2010","A","2006",89.090365,
"HUN","GDPHRWKD","TOT","IDX2010","A","2007",89.562746,
"HUN","GDPHRWKD","TOT","IDX2010","A","2008",91.990922,
"HUN","GDPHRWKD","TOT","IDX2010","A","2009",88.953341,
"HUN","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"HUN","GDPHRWKD","TOT","IDX2010","A","2011",102.062344,
"HUN","GDPHRWKD","TOT","IDX2010","A","2012",101.376421,
"HUN","GDPHRWKD","TOT","IDX2010","A","2013",102.691312,
"HUN","GDPHRWKD","TOT","IDX2010","A","2014",101.678627,
"HUN","GDPHRWKD","TOT","IDX2010","A","2015",102.967724,
"HUN","GDPHRWKD","TOT","IDX2010","A","2016",101.538651,
"HUN","GDPHRWKD","TOT","IDX2010","A","2017",104.766412,
"HUN","GDPHRWKD","TOT","IDX2010","A","2018",109.338778,
"ISL","GDPHRWKD","TOT","IDX2010","A","2001",72.321386,
"ISL","GDPHRWKD","TOT","IDX2010","A","2002",75.403165,
"ISL","GDPHRWKD","TOT","IDX2010","A","2003",78.473433,
"ISL","GDPHRWKD","TOT","IDX2010","A","2004",84.778431,
"ISL","GDPHRWKD","TOT","IDX2010","A","2005",87.725407,
"ISL","GDPHRWKD","TOT","IDX2010","A","2006",88.42775,
"ISL","GDPHRWKD","TOT","IDX2010","A","2007",93.759285,
"ISL","GDPHRWKD","TOT","IDX2010","A","2008",94.770674,
"ISL","GDPHRWKD","TOT","IDX2010","A","2009",101.66582,
"ISL","GDPHRWKD","TOT","IDX2010","A","2010",100,
"ISL","GDPHRWKD","TOT","IDX2010","A","2011",100.040926,
"ISL","GDPHRWKD","TOT","IDX2010","A","2012",100.497405,
"ISL","GDPHRWKD","TOT","IDX2010","A","2013",102.080961,
"ISL","GDPHRWKD","TOT","IDX2010","A","2014",102.260135,
"ISL","GDPHRWKD","TOT","IDX2010","A","2015",104.122367,
"ISL","GDPHRWKD","TOT","IDX2010","A","2016",106.858613,
"ISL","GDPHRWKD","TOT","IDX2010","A","2017",108.285971,
"ISL","GDPHRWKD","TOT","IDX2010","A","2018",110.590853,
"IRL","GDPHRWKD","TOT","IDX2010","A","2001",75.191368,
"IRL","GDPHRWKD","TOT","IDX2010","A","2002",79.208303,
"IRL","GDPHRWKD","TOT","IDX2010","A","2003",80.804639,
"IRL","GDPHRWKD","TOT","IDX2010","A","2004",83.800563,
"IRL","GDPHRWKD","TOT","IDX2010","A","2005",84.048698,
"IRL","GDPHRWKD","TOT","IDX2010","A","2006",84.584793,
"IRL","GDPHRWKD","TOT","IDX2010","A","2007",85.980154,
"IRL","GDPHRWKD","TOT","IDX2010","A","2008",83.656763,
"IRL","GDPHRWKD","TOT","IDX2010","A","2009",87.742446,
"IRL","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"IRL","GDPHRWKD","TOT","IDX2010","A","2011",105.187792,
"IRL","GDPHRWKD","TOT","IDX2010","A","2012",105.516152,
"IRL","GDPHRWKD","TOT","IDX2010","A","2013",103.627713,
"IRL","GDPHRWKD","TOT","IDX2010","A","2014",109.121093,
"IRL","GDPHRWKD","TOT","IDX2010","A","2015",131.201636,
"IRL","GDPHRWKD","TOT","IDX2010","A","2016",132.941938,
"IRL","GDPHRWKD","TOT","IDX2010","A","2017",138.308466,"B"
"IRL","GDPHRWKD","TOT","IDX2010","A","2018",138.789178,
"ITA","GDPHRWKD","TOT","IDX2010","A","2001",100.672664,
"ITA","GDPHRWKD","TOT","IDX2010","A","2002",99.863239,
"ITA","GDPHRWKD","TOT","IDX2010","A","2003",99.152926,
"ITA","GDPHRWKD","TOT","IDX2010","A","2004",100.140151,
"ITA","GDPHRWKD","TOT","IDX2010","A","2005",100.709455,
"ITA","GDPHRWKD","TOT","IDX2010","A","2006",100.716996,
"ITA","GDPHRWKD","TOT","IDX2010","A","2007",100.635201,
"ITA","GDPHRWKD","TOT","IDX2010","A","2008",99.976324,
"ITA","GDPHRWKD","TOT","IDX2010","A","2009",97.799705,
"ITA","GDPHRWKD","TOT","IDX2010","A","2010",100,
"ITA","GDPHRWKD","TOT","IDX2010","A","2011",100.492032,
"ITA","GDPHRWKD","TOT","IDX2010","A","2012",100.174131,
"ITA","GDPHRWKD","TOT","IDX2010","A","2013",101.08686,
"ITA","GDPHRWKD","TOT","IDX2010","A","2014",101.272346,
"ITA","GDPHRWKD","TOT","IDX2010","A","2015",101.49606,
"ITA","GDPHRWKD","TOT","IDX2010","A","2016",101.058858,
"ITA","GDPHRWKD","TOT","IDX2010","A","2017",101.73614,
"ITA","GDPHRWKD","TOT","IDX2010","A","2018",101.506492,
"JPN","GDPHRWKD","TOT","IDX2010","A","2001",90.433465,
"JPN","GDPHRWKD","TOT","IDX2010","A","2002",92.169896,
"JPN","GDPHRWKD","TOT","IDX2010","A","2003",93.477245,
"JPN","GDPHRWKD","TOT","IDX2010","A","2004",95.63376,
"JPN","GDPHRWKD","TOT","IDX2010","A","2005",97.102924,
"JPN","GDPHRWKD","TOT","IDX2010","A","2006",97.304897,
"JPN","GDPHRWKD","TOT","IDX2010","A","2007",98.081732,
"JPN","GDPHRWKD","TOT","IDX2010","A","2008",97.92474,
"JPN","GDPHRWKD","TOT","IDX2010","A","2009",96.836779,
"JPN","GDPHRWKD","TOT","IDX2010","A","2010",100,
"JPN","GDPHRWKD","TOT","IDX2010","A","2011",100.233283,
"JPN","GDPHRWKD","TOT","IDX2010","A","2012",101.170467,
"JPN","GDPHRWKD","TOT","IDX2010","A","2013",103.259424,
"JPN","GDPHRWKD","TOT","IDX2010","A","2014",103.339128,
"JPN","GDPHRWKD","TOT","IDX2010","A","2015",104.756992,
"JPN","GDPHRWKD","TOT","IDX2010","A","2016",104.703232,
"JPN","GDPHRWKD","TOT","IDX2010","A","2017",105.943843,
"KOR","GDPHRWKD","TOT","IDX2010","A","2001",64.820037,
"KOR","GDPHRWKD","TOT","IDX2010","A","2002",68.903293,
"KOR","GDPHRWKD","TOT","IDX2010","A","2003",71.951066,
"KOR","GDPHRWKD","TOT","IDX2010","A","2004",74.995407,
"KOR","GDPHRWKD","TOT","IDX2010","A","2005",78.233552,
"KOR","GDPHRWKD","TOT","IDX2010","A","2006",81.422441,
"KOR","GDPHRWKD","TOT","IDX2010","A","2007",86.299573,
"KOR","GDPHRWKD","TOT","IDX2010","A","2008",91.56366,
"KOR","GDPHRWKD","TOT","IDX2010","A","2009",94.650469,
"KOR","GDPHRWKD","TOT","IDX2010","A","2010",100,
"KOR","GDPHRWKD","TOT","IDX2010","A","2011",102.889167,
"KOR","GDPHRWKD","TOT","IDX2010","A","2012",104.22842,
"KOR","GDPHRWKD","TOT","IDX2010","A","2013",106.291718,
"KOR","GDPHRWKD","TOT","IDX2010","A","2014",108.657606,
"KOR","GDPHRWKD","TOT","IDX2010","A","2015",109.591298,
"KOR","GDPHRWKD","TOT","IDX2010","A","2016",112.515049,
"KOR","GDPHRWKD","TOT","IDX2010","A","2017",117.252238,
"LUX","GDPHRWKD","TOT","IDX2010","A","2001",96.794515,
"LUX","GDPHRWKD","TOT","IDX2010","A","2002",97.979172,
"LUX","GDPHRWKD","TOT","IDX2010","A","2003",97.87944,
"LUX","GDPHRWKD","TOT","IDX2010","A","2004",99.147312,
"LUX","GDPHRWKD","TOT","IDX2010","A","2005",101.333981,
"LUX","GDPHRWKD","TOT","IDX2010","A","2006",102.487284,
"LUX","GDPHRWKD","TOT","IDX2010","A","2007",105.413176,
"LUX","GDPHRWKD","TOT","IDX2010","A","2008",99.283936,
"LUX","GDPHRWKD","TOT","IDX2010","A","2009",97.10167,
"LUX","GDPHRWKD","TOT","IDX2010","A","2010",100,
"LUX","GDPHRWKD","TOT","IDX2010","A","2011",99.696771,
"LUX","GDPHRWKD","TOT","IDX2010","A","2012",97.441434,
"LUX","GDPHRWKD","TOT","IDX2010","A","2013",99.546202,
"LUX","GDPHRWKD","TOT","IDX2010","A","2014",100.999136,
"LUX","GDPHRWKD","TOT","IDX2010","A","2015",101.806575,
"LUX","GDPHRWKD","TOT","IDX2010","A","2016",101.242465,
"LUX","GDPHRWKD","TOT","IDX2010","A","2017",99.905326,
"LUX","GDPHRWKD","TOT","IDX2010","A","2018",98.795549,
"MEX","GDPHRWKD","TOT","IDX2010","A","2001",105.685658,
"MEX","GDPHRWKD","TOT","IDX2010","A","2002",100.863351,
"MEX","GDPHRWKD","TOT","IDX2010","A","2003",104.018528,
"MEX","GDPHRWKD","TOT","IDX2010","A","2004",105.449408,
"MEX","GDPHRWKD","TOT","IDX2010","A","2005",103.999893,
"MEX","GDPHRWKD","TOT","IDX2010","A","2006",107.379274,
"MEX","GDPHRWKD","TOT","IDX2010","A","2007",108.849329,
"MEX","GDPHRWKD","TOT","IDX2010","A","2008",105.258069,
"MEX","GDPHRWKD","TOT","IDX2010","A","2009",105.236776,
"MEX","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"MEX","GDPHRWKD","TOT","IDX2010","A","2011",102.805566,
"MEX","GDPHRWKD","TOT","IDX2010","A","2012",103.19107,
"MEX","GDPHRWKD","TOT","IDX2010","A","2013",102.697226,
"MEX","GDPHRWKD","TOT","IDX2010","A","2014",105.26914,"E"
"MEX","GDPHRWKD","TOT","IDX2010","A","2015",105.873105,"E"
"MEX","GDPHRWKD","TOT","IDX2010","A","2016",106.590681,"E"
"MEX","GDPHRWKD","TOT","IDX2010","A","2017",107.113126,"E"
"NLD","GDPHRWKD","TOT","IDX2010","A","2001",91.567204,
"NLD","GDPHRWKD","TOT","IDX2010","A","2002",92.235549,
"NLD","GDPHRWKD","TOT","IDX2010","A","2003",93.453431,
"NLD","GDPHRWKD","TOT","IDX2010","A","2004",95.06519,
"NLD","GDPHRWKD","TOT","IDX2010","A","2005",97.335278,
"NLD","GDPHRWKD","TOT","IDX2010","A","2006",98.782988,
"NLD","GDPHRWKD","TOT","IDX2010","A","2007",99.665562,
"NLD","GDPHRWKD","TOT","IDX2010","A","2008",100.237746,
"NLD","GDPHRWKD","TOT","IDX2010","A","2009",97.976689,
"NLD","GDPHRWKD","TOT","IDX2010","A","2010",100,
"NLD","GDPHRWKD","TOT","IDX2010","A","2011",100.64084,
"NLD","GDPHRWKD","TOT","IDX2010","A","2012",100.49104,
"NLD","GDPHRWKD","TOT","IDX2010","A","2013",101.254678,
"NLD","GDPHRWKD","TOT","IDX2010","A","2014",102.004433,
"NLD","GDPHRWKD","TOT","IDX2010","A","2015",103.007055,
"NLD","GDPHRWKD","TOT","IDX2010","A","2016",103.243543,
"NLD","GDPHRWKD","TOT","IDX2010","A","2017",104.192823,
"NLD","GDPHRWKD","TOT","IDX2010","A","2018",104.472227,
"NZL","GDPHRWKD","TOT","IDX2010","A","2001",90.955562,
"NZL","GDPHRWKD","TOT","IDX2010","A","2002",92.728299,
"NZL","GDPHRWKD","TOT","IDX2010","A","2003",94.485376,
"NZL","GDPHRWKD","TOT","IDX2010","A","2004",94.137172,
"NZL","GDPHRWKD","TOT","IDX2010","A","2005",94.024369,
"NZL","GDPHRWKD","TOT","IDX2010","A","2006",95.395835,
"NZL","GDPHRWKD","TOT","IDX2010","A","2007",99.110045,
"NZL","GDPHRWKD","TOT","IDX2010","A","2008",95.975893,
"NZL","GDPHRWKD","TOT","IDX2010","A","2009",100.967367,
"NZL","GDPHRWKD","TOT","IDX2010","A","2010",100,
"NZL","GDPHRWKD","TOT","IDX2010","A","2011",101.969676,
"NZL","GDPHRWKD","TOT","IDX2010","A","2012",105.655646,
"NZL","GDPHRWKD","TOT","IDX2010","A","2013",103.760934,
"NZL","GDPHRWKD","TOT","IDX2010","A","2014",103.36725,
"NZL","GDPHRWKD","TOT","IDX2010","A","2015",106.063553,
"NZL","GDPHRWKD","TOT","IDX2010","A","2016",105.477651,
"NZL","GDPHRWKD","TOT","IDX2010","A","2017",103.852825,
"NZL","GDPHRWKD","TOT","IDX2010","A","2018",103.830079,"E"
"NOR","GDPHRWKD","TOT","IDX2010","A","2001",96.859919,
"NOR","GDPHRWKD","TOT","IDX2010","A","2002",98.875836,
"NOR","GDPHRWKD","TOT","IDX2010","A","2003",101.846891,
"NOR","GDPHRWKD","TOT","IDX2010","A","2004",103.767227,
"NOR","GDPHRWKD","TOT","IDX2010","A","2005",104.843245,
"NOR","GDPHRWKD","TOT","IDX2010","A","2006",104.012086,
"NOR","GDPHRWKD","TOT","IDX2010","A","2007",102.197068,
"NOR","GDPHRWKD","TOT","IDX2010","A","2008",99.169969,
"NOR","GDPHRWKD","TOT","IDX2010","A","2009",99.447622,
"NOR","GDPHRWKD","TOT","IDX2010","A","2010",100,
"NOR","GDPHRWKD","TOT","IDX2010","A","2011",99.226874,
"NOR","GDPHRWKD","TOT","IDX2010","A","2012",99.986743,
"NOR","GDPHRWKD","TOT","IDX2010","A","2013",100.689584,
"NOR","GDPHRWKD","TOT","IDX2010","A","2014",101.282949,
"NOR","GDPHRWKD","TOT","IDX2010","A","2015",102.69895,
"NOR","GDPHRWKD","TOT","IDX2010","A","2016",103.469858,
"NOR","GDPHRWKD","TOT","IDX2010","A","2017",105.225164,
"NOR","GDPHRWKD","TOT","IDX2010","A","2018",104.995723,
"POL","GDPHRWKD","TOT","IDX2010","A","2001",73.361479,
"POL","GDPHRWKD","TOT","IDX2010","A","2002",77.383135,
"POL","GDPHRWKD","TOT","IDX2010","A","2003",80.861738,
"POL","GDPHRWKD","TOT","IDX2010","A","2004",84.047266,
"POL","GDPHRWKD","TOT","IDX2010","A","2005",85.372252,
"POL","GDPHRWKD","TOT","IDX2010","A","2006",87.790214,
"POL","GDPHRWKD","TOT","IDX2010","A","2007",90.051986,
"POL","GDPHRWKD","TOT","IDX2010","A","2008",90.791908,
"POL","GDPHRWKD","TOT","IDX2010","A","2009",93.71887,
"POL","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"POL","GDPHRWKD","TOT","IDX2010","A","2011",104.691939,
"POL","GDPHRWKD","TOT","IDX2010","A","2012",106.525361,
"POL","GDPHRWKD","TOT","IDX2010","A","2013",108.279251,
"POL","GDPHRWKD","TOT","IDX2010","A","2014",109.618419,
"POL","GDPHRWKD","TOT","IDX2010","A","2015",111.70248,
"POL","GDPHRWKD","TOT","IDX2010","A","2016",114.058535,
"POL","GDPHRWKD","TOT","IDX2010","A","2017",119.30853,
"POL","GDPHRWKD","TOT","IDX2010","A","2018",126.697399,
"PRT","GDPHRWKD","TOT","IDX2010","A","2001",89.417229,
"PRT","GDPHRWKD","TOT","IDX2010","A","2002",90.082715,
"PRT","GDPHRWKD","TOT","IDX2010","A","2003",90.443718,
"PRT","GDPHRWKD","TOT","IDX2010","A","2004",92.434512,
"PRT","GDPHRWKD","TOT","IDX2010","A","2005",93.471429,
"PRT","GDPHRWKD","TOT","IDX2010","A","2006",95.145877,
"PRT","GDPHRWKD","TOT","IDX2010","A","2007",96.630575,
"PRT","GDPHRWKD","TOT","IDX2010","A","2008",97.138971,
